cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,30,0,0,1,0,0,,2020-03-01,0-1
0,0.17,0,9.47,8.53,0.07,0.01,33,1,0,0.45,0,1.16,0,12.48,1,,0.16,13.04,0,5.07,0,0,0,0,30,0,0.26,1,11.91,0,,2020-03-02,0-1
0.01,0.65,0.03,23.11,14.38,0.44,0.05,33,1,0.01,1.48,0,3.52,0.02,14.66,1,,1,15.06,0,17.13,0.01,0.01,0,0.01,30,0,1.61,1,25.85,0,,2020-03-03,0-1
0.02,0.85,0.08,38.69,16.04,1.38,0.14,33,1,0.03,3.38,0,12.15,0.1,16.47,1,,2.98,17.06,0,32.57,0.06,0.02,0.01,0.04,30,0,5.33,1,41.73,0.01,,2020-03-04,0-1
0.05,0,0.18,56.06,17.7,3.13,0.3,33,1,0.07,5.09,0.01,11.11,0.27,18.26,1,,6.82,19.04,0.01,49.63,0.17,0.03,0.02,0.08,30,0,12.01,1,59.53,0.03,,2020-03-05,0-1
0.12,3.88,0.34,75.21,19.34,5.92,0.55,33,1,0.17,8.05,0.01,14.74,0.61,20.04,1,,12.78,21,0.02,68.4,0.38,0.06,0.04,0.15,30,0,22.13,1,79.23,0.06,,2020-03-06,0-1
0.22,5.61,0.56,96.14,20.97,9.98,0.93,33,1,0.33,12.08,0.03,21.53,1.2,21.8,1,,21.39,22.94,0.05,88.86,0.73,0.11,0.06,0.24,30,0,38.05,1,100.89,0.12,,2020-03-07,0-1
0.39,7.67,0.87,118.88,22.58,15.55,1.45,33,1,0.57,16.36,0.04,29.18,2.12,23.74,1,,33.2,28.22,0.09,110.99,1.27,0.17,0.1,0.38,30,0,59.89,1,124.76,0.22,,2020-03-08,0-1
0.63,10.04,1.26,144.08,24.18,22.79,2.12,33,1,0.93,21.09,0.07,37.85,3.46,26.66,1,,48.49,37,0.15,134.78,2.06,0.25,0.15,0.55,30,0,88.13,1,154.56,0.36,,2020-03-09,0-1
0.97,12.68,1.75,172.3,25.77,31.86,2.95,33,1,1.44,26.35,0.1,47.15,5.3,29.85,1,,67.44,46.45,0.25,160.21,3.13,0.36,0.22,0.77,30,0,123.13,1,196.24,0.58,,2020-03-10,0-1
1.45,15.56,2.32,204.17,27.52,42.85,3.95,33,1,2.11,32.06,0.15,57.01,7.72,33.96,1,,90.1,56.38,0.38,187.27,4.52,0.49,0.3,1.04,30,0,164.93,1,247.63,0.87,,2020-03-11,0-1
2.08,18.64,2.99,240.52,29.26,55.81,5.1,33,1,2.99,38.05,0.2,67.23,10.79,38.87,1,,116.55,66.7,0.57,216.06,6.29,0.64,0.41,1.37,30,0,213.51,1,309.14,1.26,,2020-03-12,0-1
2.88,21.88,3.74,282.21,31.51,70.76,6.41,33,1,4.08,44.29,0.27,77.81,14.56,44.56,1,,146.73,77.36,0.83,248.39,8.44,0.82,0.53,1.73,30,0,268.72,1,381.14,1.78,,2020-03-13,0-1
3.89,25.26,4.58,329.8,33.24,87.67,7.88,33,1,5.42,50.8,0.35,88.76,19.07,50.68,1,,180.57,88.36,1.16,284.72,11.02,1.02,0.66,2.14,30,0,330.41,1,463.98,2.43,,2020-03-14,0-1
5.13,28.76,5.51,383.7,35.66,106.51,9.49,33,1,7.03,57.52,0.44,100.01,24.36,57.21,1,,218,99.69,1.58,323.34,14.03,1.25,0.82,2.59,30,0,398.45,1,557.98,3.23,,2020-03-15,0-1
6.61,32.38,6.52,444.33,37.31,127.23,11.24,33,1,8.88,64.47,0.55,111.52,30.46,64.04,1,,258.95,111.24,2.11,362.97,17.5,1.5,1,3.08,30,0,472.63,1,663.42,4.21,,2020-03-16,0-1
8.37,36.1,7.6,511.97,38.94,149.77,13.11,33,1,10.99,71.67,0.67,123.6,37.35,71.23,1,,303.35,123.39,2.75,401.09,21.44,1.77,1.2,3.61,30,0,552.86,1,780.67,5.39,,2020-03-17,0-1
10.43,39.87,8.76,586.86,40.55,174.07,15.09,33,1,13.38,79.03,0.8,136.33,45.05,78.55,1,,351.09,136.16,3.52,440.84,25.84,2.07,1.41,4.18,30,0,639.37,1,910.41,6.78,,2020-03-18,0-1
12.82,43.6,9.98,669.07,42.16,199.99,17.18,33,1,15.9,86.52,0.95,148.97,53.52,85.83,1,,401.96,148.82,4.44,482.21,30.71,2.4,1.65,4.78,30,0,731.98,1,1052.97,8.41,,2020-03-19,0-1
15.57,47.19,11.25,758.57,45.71,227.3,19.44,33,1,18.39,93.46,1.07,161.03,62.81,93,1,,455.65,160.92,5.52,526.07,36.05,2.76,1.9,5.42,30,0,829.87,1,1207.89,10.29,,2020-03-20,0-1
18.7,50.58,12.57,855.01,49.25,255.72,21.81,33,1,21.04,100.47,1.2,172.19,72.92,99.83,1,,511.51,172.09,6.77,573.57,41.82,3.13,2.18,6.07,30,0,931.94,1,1374.46,12.45,,2020-03-21,0-1
22.21,53.68,13.93,958.05,52.5,284.92,24.27,33,1,23.84,106.66,1.33,182.17,83.84,106.18,1,,569.1,182.09,8.19,624.46,48.02,3.5,2.46,6.74,30,0,1036.84,1,1551.63,14.89,,2020-03-22,0-1
26.11,56.46,15.3,1067.17,55.4,314.54,26.75,33,1,26.75,112.19,1.47,190.84,95.5,111.99,1,,627.76,190.76,9.82,678.43,54.6,3.88,2.75,7.41,30,0,1143.11,1,1738.13,17.63,,2020-03-23,0-1
30.41,58.86,16.68,1181.94,57.92,344.2,29.23,33,1,29.77,117.39,1.61,198.15,107.84,117.23,1,,686.8,198.08,11.64,735.15,61.55,4.26,3.05,8.07,30,0,1249.34,1,1932.71,20.68,,2020-03-24,0-1
35.09,60.89,18.05,1301.55,60.05,373.54,31.68,33,1,32.85,122.1,1.74,204.03,120.69,121.91,1,,745.66,203.98,13.69,794.22,68.8,4.65,3.36,8.72,30,0,1354.19,1,2133.87,24.04,,2020-03-25,0-1
40.18,62.5,19.39,1425.49,61.75,402.21,34.05,33,1,35.99,126,1.88,207.89,133.96,125.81,1,,803.75,207.84,15.94,855.15,76.3,5.03,3.67,9.34,30,0,1456.07,1,2339.98,27.71,,2020-03-26,0-1
45.67,63.59,20.69,1552.79,62.91,429.82,36.3,33,1,39.14,128.78,2.02,210.47,147.5,128.61,1,,860.2,210.41,18.42,917.53,83.99,5.42,3.97,9.93,30,0,1552.75,1,2548.56,31.7,,2020-03-27,0-1
51.56,64.05,21.91,1682.24,63.45,455.87,38.36,33,1,42.28,130.23,2.15,210.98,161.12,130.07,1,,913.96,210.93,21.13,980.76,91.8,5.8,4.28,10.48,30,0,1641.54,1,2756.45,36.01,,2020-03-28,0-1
57.84,63.87,23.02,1812.46,63.33,479.88,40.17,33,1,45.38,130.33,2.27,208.76,174.62,130.2,1,,963.92,208.72,24.06,1044.19,99.62,6.16,4.58,10.98,30,0,1720.08,1,2960.69,40.63,,2020-03-29,0-1
64.49,63.05,24.01,1942.19,62.57,501.39,41.68,33,1,48.38,129.22,2.39,204.25,187.76,129.1,1,,1009.15,204.21,26.73,1107.18,107.35,6.51,4.88,11.42,30,0,1786.76,1,3158.88,45.57,,2020-03-30,0-1
71.48,61.65,24.85,2070.3,61.21,520.01,42.87,33,1,51.26,127.1,2.5,198.13,200.3,127,1,,1048.97,198.09,29.43,1169.1,114.89,6.84,5.16,11.8,30,0,1841.02,1,3349.6,50.8,,2020-03-31,0-1
78.8,59.75,25.54,2195.95,61.73,535.45,43.74,33,1,53.97,124.23,2.6,191.12,212.03,124.25,1,,1082.95,191.08,32.22,1230.31,122.13,7.13,5.43,12.09,30,0,1883.2,1,3532.3,56.32,,2020-04-01,0-1
86.4,57.45,26.08,2318.62,63.14,547.55,44.3,33,1,56.48,120.82,2.69,183.78,222.77,121.03,1,,1110.96,183.74,35.11,1292.75,128.98,7.47,5.67,12.3,30,0,1914.32,1,3707.14,62.1,,2020-04-02,0-1
94.25,54.87,26.47,2437.9,64.54,556.24,44.59,33,1,58.77,117.05,2.76,176.49,232.39,117.47,1,,1133.05,176.45,38.08,1356.59,135.34,7.91,5.9,12.44,30,0,1935.63,1,3874.59,68.12,,2020-04-03,0-1
102.31,52.08,26.71,2553.5,65.93,561.56,44.63,33,1,60.8,113.07,2.83,169.43,240.8,113.71,1,,1149.44,169.39,41.11,1421.82,141.17,8.32,6.1,12.49,30,0,1948.44,1,4035.25,74.35,,2020-04-04,0-1
110.53,49.18,26.83,2665.27,66.58,563.64,44.47,33,1,62.58,108.98,2.88,162.63,247.98,109.83,1,,1160.46,162.59,44.19,1488.44,146.41,8.72,6.28,12.47,30,0,1953.87,1,4189.64,80.77,,2020-04-05,0-1
118.88,46.22,26.83,2773.2,65.04,562.66,44.14,33,1,64.08,104.84,2.92,156.06,253.93,106.1,1,,1166.47,156.03,47.31,1556.43,151.04,9.09,6.43,12.37,30,0,1952.87,1,4338.15,87.35,,2020-04-06,0-1
127.31,43.26,26.72,2877.52,66.32,558.85,43.67,33,1,65.31,100.72,2.95,149.65,258.67,102.58,1,,1167.89,149.63,50.46,1625.77,155.04,9.44,6.55,12.22,30,0,1946.18,1,4486.59,94.05,,2020-04-07,0-1
135.78,40.35,26.52,2978.43,67.59,552.48,43.09,33,1,66.28,96.64,2.96,143.34,262.27,99.3,1,,1165.14,143.32,53.62,1696.46,158.4,9.76,6.65,12,30,0,1934.4,1,4633.06,100.86,,2020-04-08,0-1
144.25,37.53,26.24,3076.21,68.85,543.81,42.41,33,1,66.99,92.64,2.97,137.08,264.78,96.25,1,,1158.63,137.07,56.79,1768.49,161.13,10.05,6.72,11.74,30,0,1917.98,1,4773.25,107.73,,2020-04-09,0-1
152.69,34.81,25.89,3170.96,70.1,533.14,41.64,33,1,67.46,88.72,2.96,130.84,266.28,93.27,1,,1148.75,130.83,59.95,1841.83,163.26,10.31,6.77,11.44,30,0,1897.27,1,4907.2,114.65,,2020-04-10,0-1
161.07,32.23,25.48,3262.88,71.34,520.75,40.81,33,1,67.7,84.91,2.95,124.61,266.83,90.57,1,,1135.88,124.6,63.1,1916.48,164.81,10.53,6.79,11.1,30,0,1872.57,1,5034.92,121.6,,2020-04-11,0-1
169.36,29.78,25.01,3352.19,72.57,506.91,39.9,33,1,67.73,81.22,2.93,119.8,266.5,88.14,1,,1120.39,119.78,66.23,1992.44,165.8,10.72,6.79,10.73,30,0,1844.16,1,5156.42,128.53,,2020-04-12,0-1
179.96,27.48,24.51,3439.36,73.79,491.89,38.94,33,1,67.57,77.66,2.9,115.42,265.36,86.25,1,,1102.63,115.41,69.32,2069.67,166.26,10.88,6.77,10.35,30,0,1812.3,1,5271.77,135.45,,2020-04-13,0-1
191.11,25.32,23.97,3525.03,74.7,475.93,37.92,33,1,67.24,74.24,2.87,111.12,263.47,85.15,1,,1082.93,111.11,72.38,2148.19,166.24,11.01,6.72,9.94,30,0,1777.28,1,5381.04,142.32,,2020-04-14,0-1
202.37,23.32,23.41,3609.7,75.89,459.26,36.86,33,1,66.76,70.92,2.83,106.91,260.9,84.19,1,,1061.57,106.9,75.4,2227.96,165.77,11.1,6.67,9.53,30,0,1739.41,1,5484.36,149.12,,2020-04-15,0-1
213.69,21.45,22.82,3693.49,76.3,442.08,35.75,33,1,66.14,67.75,2.79,102.8,257.69,83.43,1,,1038.8,102.8,78.37,2308.99,164.88,11.16,6.59,9.11,30,0,1699.01,1,5581.92,155.86,,2020-04-16,0-1
225.05,19.72,22.21,3776.63,77.47,424.58,34.62,33,1,65.41,64.74,2.75,98.82,253.9,82.92,1,,1014.92,98.81,81.29,2391.24,163.62,11.21,6.5,8.69,30,0,1656.47,1,5673.93,162.5,,2020-04-17,0-1
236.42,18.07,21.6,3859.62,73.08,406.89,33.47,33,1,64.58,62.06,2.7,94.96,249.6,83.08,1,,990.24,94.95,84.16,2470.73,162.01,11.26,6.4,8.27,30,0,1612.59,1,5762.9,169.04,,2020-04-18,0-1
247.77,16.41,20.98,3942.73,57.06,389.05,32.31,33,1,63.66,59.3,2.65,91.23,244.85,83.17,1,,964.99,91.23,86.97,2535.51,160.09,11.29,6.29,7.85,30,0,1567.95,1,5852.99,175.47,,2020-04-19,0-1
259.08,14.75,20.35,4026.06,44.95,371.09,31.14,33,1,62.66,56.69,2.59,88.49,240.17,83.58,1,,939.22,91.99,89.73,2586.3,157.9,11.3,6.18,7.44,30,0,1521.63,1,5944.35,181.77,,2020-04-20,0-1
270.32,13.15,19.73,4109.96,35.74,353.03,30.1,33,1,61.61,54.2,2.54,85.2,240,84.24,1,,913.14,93.24,92.43,2626.49,155.48,11.29,6.05,7.02,30,0,1474.46,1,6036.97,187.96,,2020-04-21,0-1
281.48,11.67,19.11,4194.57,28.7,334.99,29.35,33,1,60.51,51.81,2.48,81.03,239.4,85,1,,886.87,94.48,95.06,2658.59,152.84,11.26,5.92,6.61,30,0,1428.05,1,6130.83,194,,2020-04-22,0-1
292.53,10.33,18.49,4279.98,23.29,317.09,28.57,33,1,59.36,49.59,2.43,77.9,238.42,85.83,1,,860.55,95.7,97.64,2684.49,150.02,11.21,5.79,6.21,30,0,1392.08,1,6225.92,199.92,,2020-04-23,0-1
303.46,9.13,17.88,4366.25,19.09,299.45,27.8,33,1,58.19,47.51,2.37,75.02,237.08,86.71,1,,834.36,96.92,100.15,2705.61,147.05,11.15,5.65,5.82,30,0,1355.84,1,6322.23,205.69,,2020-04-24,0-1
314.25,8.07,17.28,4453.41,15.8,282.2,27.02,33,1,56.99,45.52,2.32,72.26,235.42,87.63,1,,808.39,98.12,102.6,2723,143.95,11.07,5.51,5.44,30,0,1319.59,1,6419.75,211.32,,2020-04-25,0-1
324.88,7.14,16.69,4541.51,13.22,265.42,26.26,33,1,55.77,43.64,2.26,69.62,233.46,88.57,1,,782.72,99.31,104.99,2737.48,140.74,10.98,5.37,5.07,30,0,1283.47,1,6518.46,216.8,,2020-04-26,0-1
335.36,6.32,16.11,4630.56,11.16,249.21,25.5,33,1,54.54,41.85,2.2,67.11,231.24,89.53,1,,757.44,100.48,107.32,2749.63,137.45,10.88,5.22,4.72,30,0,1247.62,1,6618.35,222.14,,2020-04-27,0-1
345.66,5.61,15.55,4720.35,9.5,233.62,24.75,33,1,53.31,40.13,2.15,64.7,228.78,89.86,1,,732.59,101.65,109.59,2759.94,134.1,10.77,5.08,4.38,30,0,1212.13,1,6719.42,227.33,,2020-04-28,0-1
355.79,4.98,15,4810.26,8.16,218.69,24.01,33,1,52.08,38.48,2.09,62.38,226.1,89.9,1,,708.2,102.8,111.8,2768.76,130.71,10.65,4.93,4.06,30,0,1177.08,1,6821.65,232.37,,2020-04-29,0-1
365.73,4.43,14.46,4900.18,7.06,204.46,23.29,33,1,50.84,36.88,2.04,60.16,223.23,89.86,1,,684.3,103.95,113.95,2776.35,127.28,10.52,4.79,3.76,30,0,1142.53,1,6925.03,237.27,,2020-04-30,0-1
375.48,3.95,13.94,4989.84,6.15,190.93,22.58,33,1,49.62,35.32,1.99,58.01,220.19,89.41,1,,660.89,105.08,116.04,2782.95,123.85,10.39,4.65,3.47,30,0,1108.55,1,7029.54,242.02,,2020-05-01,0-1
385.03,3.53,13.43,5079.09,5.39,178.12,21.88,33,1,48.4,33.83,1.93,55.94,217.01,89.14,1,,637.99,106.2,118.07,2788.7,120.41,10.25,4.51,3.2,30,0,1075.17,1,7135.18,246.63,,2020-05-02,0-1
394.39,3.16,12.93,5168.18,4.74,166.02,21.2,33,1,47.19,32.41,1.88,53.95,213.69,89.04,1,,615.62,107.31,120.05,2793.76,116.97,10.1,4.37,2.92,30,0,1042.43,1,7241.94,251.1,,2020-05-03,0-1
403.55,2.83,12.45,5257.22,4.19,154.63,20.53,33,1,46,31.04,1.83,52.03,210.26,89.01,1,,593.79,108.41,121.97,2798.22,113.56,9.94,4.24,2.64,30,0,1010.35,1,7349.8,255.43,,2020-05-04,0-1
412.52,2.53,11.98,5346.09,3.72,143.95,19.88,33,1,44.81,29.73,1.78,50.17,206.73,88.67,1,,572.51,109.5,123.83,2802.17,110.17,9.79,4.1,2.34,30,0,978.96,1,7458.76,259.62,,2020-05-05,0-1
421.28,2.28,11.52,5434.04,3.31,133.98,19.25,33,1,43.06,28.47,1.73,48.39,203.12,87.08,1,,551.8,110.38,125.65,2805.69,106.8,9.63,3.97,2,30,0,948.27,1,7567.72,263.68,,2020-05-06,0-1
430.7,2.05,11.07,5520.18,2.96,124.68,18.63,33,1,40.36,27.23,1.68,46.66,199.43,85.16,1,,531.64,111.45,127.41,2808.82,103.48,9.46,3.84,1.7,30,0,918.3,1,7666.96,267.61,,2020-05-07,0-1
440.1,1.84,10.64,5604.16,2.65,116.01,18.02,33,1,37.69,26,1.64,45,195.69,82.6,1,,512,112.5,129.11,2811.62,100.19,9.29,3.72,1.48,30,0,889.05,1,7752.93,271.41,,2020-05-08,0-1
449.33,1.66,10.22,5685.49,2.38,107.91,17.44,33,1,35.12,24.8,1.59,43.39,191.9,79.99,1,,492.86,113.55,130.77,2814.13,96.95,9.13,3.59,1.32,30,0,860.52,1,7828.79,275.08,,2020-05-09,0-1
458.39,1.49,9.82,5763.82,2.14,100.34,16.86,33,1,32.67,23.63,1.54,41.85,188.08,76.57,1,,474.2,114.58,132.38,2816.39,93.77,8.96,3.47,1.21,30,0,832.73,1,7896.8,278.63,,2020-05-10,0-1
467.28,1.34,9.43,5838.85,1.92,93.25,16.31,33,1,30.38,22.51,1.49,40.35,184.23,73.6,1,,456.02,115.61,133.94,2818.42,90.65,8.78,3.35,1.11,30,0,805.67,1,7958.39,282.05,,2020-05-11,0-1
475.99,1.2,9.05,5911.06,1.73,86.63,15.77,33,1,28.23,21.45,1.39,38.91,180.37,70.91,1,,438.33,116.63,135.45,2820.24,87.59,8.61,3.23,1.02,30,0,779.33,1,8014.65,285.36,,2020-05-12,0-1
484.54,1.07,8.68,5980.8,1.56,80.43,15.24,33,1,26.22,20.46,1.3,37.53,176.5,68.59,1,,421.15,117.63,136.91,2821.88,84.58,8.44,3.12,0.94,30,0,753.71,1,8066.41,288.54,,2020-05-13,0-1
492.91,0.94,8.33,6048.11,1.41,74.63,14.73,33,1,24.34,19.5,1.21,36.19,172.62,65.87,1,,404.49,116.56,138.33,2823.37,81.65,8.27,3.01,0.86,30,0,728.82,1,8114.32,291.61,,2020-05-14,0-1
501.11,0.83,7.98,6112.73,1.27,69.2,14.24,33,1,22.59,18.61,1.13,34.9,168.75,63.44,1,,388.37,117.54,139.7,2824.71,78.77,8.1,2.9,0.79,30,0,704.63,1,8158.85,294.58,,2020-05-15,0-1
509.14,0.74,7.65,6175.11,1.15,64.12,13.76,33,1,20.95,17.75,1.05,33.65,164.9,61.36,1,,372.77,118.51,141.03,2825.92,75.97,7.93,2.79,0.73,30,0,681.15,1,8255.92,297.43,,2020-05-16,0-1
517,0.92,7.33,6235.27,1.05,59.49,13.3,33,1,19.44,16.96,0.97,32.46,161.06,59.21,1,,357.72,119.47,142.31,2827.02,73.24,7.76,2.69,0.69,30,0,658.36,1,8374.92,300.17,,2020-05-17,0-1
524.69,0.73,7.04,6293.7,0.99,55.16,12.85,33,1,18.27,16.2,0.8,31.37,157.25,57.77,1,,343.18,118.37,143.55,2828.03,70.59,7.6,2.58,0.96,30,0,636.27,1,8494.16,302.81,,2020-05-18,0-1
532.21,0.63,6.74,6350.83,1,51.07,12.41,33,1,17.25,15.56,0.75,30.3,153.46,56.59,1,,329.2,114.53,144.75,2829.03,68.01,7.43,2.49,0.88,30,0,614.91,1,8605.95,305.35,,2020-05-19,0-1
539.57,0.56,6.46,6407.39,1.03,47.2,11.99,33,1,16.26,15.05,0.7,29.37,149.71,56.59,1,,315.86,115.44,145.9,2830.04,65.5,7.27,2.39,0.8,30,0,594.27,1,8709.34,307.8,,2020-05-20,0-1
546.76,0.51,6.19,6464.38,1.1,43.61,11.59,33,1,15.31,14.68,0.65,28.79,146.01,57.39,1,,303.25,116.34,147.02,2831.11,63.07,7.1,2.3,0.73,30,0,574.56,1,8809.74,310.15,,2020-05-21,0-1
553.79,0.48,5.95,6522.39,1.19,40.29,11.22,33,1,14.4,14.51,0.61,28.56,142.36,58.63,1,,291.46,117.23,148.1,2832.26,60.73,6.94,2.22,0.67,30,0,556.05,1,8910.5,312.41,,2020-05-22,0-1
560.67,0.45,5.72,6581.74,1.28,37.23,10.88,33,1,13.54,14.43,0.57,28.63,138.78,60.06,1,,280.55,118.12,149.15,2833.49,58.47,6.79,2.13,0.62,30,0,541.13,1,9013.42,314.6,,2020-05-23,0-1
567.39,0.43,5.52,6642.54,1.38,34.41,10.57,33,1,12.71,14.46,0.53,28.93,135.27,61.52,1,,270.57,118.99,150.16,2834.82,56.31,6.64,2.06,0.56,30,0,528.91,1,9119.41,316.7,,2020-05-24,0-1
573.96,0.41,5.34,6704.76,1.46,31.81,10.3,33,1,11.93,14.56,0.49,29.36,131.86,62.92,1,,261.52,119.86,151.14,2836.24,54.26,6.49,1.98,0.52,30,0,517.53,1,9228.79,318.72,,2020-05-25,0-1
580.38,0.4,5.18,6768.33,1.53,29.43,10.07,33,1,11.19,14.71,0.46,29.82,128.55,64.22,1,,253.37,120.73,152.1,2837.74,52.31,6.35,1.92,0.47,30,0,507.03,1,9341.55,320.68,,2020-05-26,0-1
586.67,0.4,5.04,6833.13,1.59,27.25,9.86,33,1,10.48,14.97,0.43,31.94,125.34,65.38,1,,246.08,121.58,153.03,2839.3,50.48,6.21,1.85,0.44,30,0,497.45,1,9457.43,322.57,,2020-05-27,0-1
592.82,0.39,4.92,6899.06,1.64,25.25,9.71,33,1,9.82,15.11,0.4,31.19,122.27,66.41,1,,239.68,122.43,153.93,2840.92,48.77,6.08,1.79,0.4,30,0,488.79,1,9577.05,324.39,,2020-05-28,0-1
598.84,0.39,4.82,6965.97,1.67,23.42,9.59,33,1,9.2,15.33,0.37,31.84,119.32,67.33,1,,234.03,123.27,154.82,2842.58,47.18,5.96,1.74,0.37,30,0,481.06,1,9699.28,326.16,,2020-05-29,0-1
604.75,0.38,4.73,7033.74,1.7,21.75,9.48,33,1,8.61,15.55,0.34,32.49,116.51,68.15,1,,229.08,125.26,155.69,2844.26,45.7,5.84,1.69,0.34,30,0,474.24,1,9824.01,327.88,,2020-05-30,0-1
610.54,0.38,4.66,7102.27,1.71,20.22,9.39,33,1,8.06,15.76,0.32,33.13,113.84,68.9,1,,224.76,127.53,156.55,2845.97,44.33,5.73,1.64,0.32,30,0,468.3,1,9950.41,329.55,,2020-05-31,0-1
616.23,0.38,4.6,7171.51,1.72,18.82,9.33,33,1,7.54,15.98,0.3,33.77,111.31,69.58,1,,221.04,129.68,157.39,2847.68,43.07,5.63,1.6,0.29,30,0,463.22,1,10079.01,331.18,,2020-06-01,0-1
621.82,0.38,4.55,7241.41,1.72,17.55,9.28,33,1,7.05,16.19,0.28,34.39,108.93,70.22,1,,217.86,131.72,158.22,2849.4,41.92,5.54,1.56,0.27,30,0,458.96,1,10209.71,332.77,,2020-06-02,0-1
627.33,0.38,4.51,7311.92,1.71,16.38,9.26,33,1,6.6,16.39,0.26,34.99,106.7,70.81,1,,215.16,133.69,159.05,2851.12,40.86,5.45,1.53,0.25,30,0,455.48,1,10342.42,334.32,,2020-06-03,0-1
632.75,0.37,4.48,7382.99,1.7,15.32,9.25,33,1,6.18,16.59,0.24,35.59,104.62,71.33,1,,212.9,134.99,159.87,2852.83,39.91,5.37,1.5,0.24,30,0,452.74,1,10476.79,335.84,,2020-06-04,0-1
638.09,0.37,4.45,7454.57,1.69,14.34,9.26,33,1,5.78,16.78,0.22,36.16,102.67,71.82,1,,211.03,135.98,160.68,2854.53,39.04,5.3,1.47,0.22,30,0,450.7,1,10612.26,337.34,,2020-06-05,0-1
643.37,0.37,4.44,7526.61,1.68,13.45,9.27,33,1,5.41,16.93,0.21,36.2,100.87,72.27,1,,209.51,136.87,161.49,2856.21,38.26,5.24,1.45,0.21,30,0,449.31,1,10748.69,338.81,,2020-06-06,0-1
648.59,0.36,4.42,7599.11,1.66,12.63,9.3,33,1,5.07,17.15,0.19,37.53,99.21,72.71,1,,208.31,137.65,162.3,2857.88,37.56,5.18,1.43,0.2,30,0,448.55,1,10886.03,340.25,,2020-06-07,0-1
653.76,0.36,4.42,7672.04,1.64,11.89,9.34,33,1,4.75,17.31,0.18,37.87,97.68,73.13,1,,207.41,138.43,163.1,2859.53,36.94,5.14,1.41,0.19,30,0,448.64,1,11024.19,341.68,,2020-06-08,0-1
658.89,0.36,4.42,7745.38,1.62,11.2,9.39,33,1,4.45,17.48,0.17,38.41,96.28,73.54,1,,206.75,139.2,163.91,2861.16,36.39,5.09,1.39,0.18,30,0,450.24,1,11163.01,343.09,,2020-06-09,0-1
663.97,0.35,4.42,7819.12,1.6,10.58,9.45,33,1,4.17,17.64,0.16,38.94,95.01,73.94,1,,206.32,139.97,164.71,2862.76,35.89,5.06,1.38,0.17,30,0,452.26,1,11302.59,344.48,,2020-06-10,0-1
669.03,0.35,4.43,7893.26,1.57,10,9.52,33,1,3.91,17.8,0.15,39.46,93.85,74.34,1,,206.09,140.72,165.52,2864.35,35.46,5.03,1.37,0.16,30,0,454.67,1,11442.94,345.86,,2020-06-11,0-1
674.05,0.35,4.44,7967.79,1.55,9.47,9.59,33,1,3.67,17.95,0.14,39.97,92.8,74.72,1,,206.05,141.47,166.33,2865.91,35.09,5.01,1.36,0.15,30,0,457.44,1,11584.04,347.24,,2020-06-12,0-1
679.06,0.34,4.45,8042.7,1.53,8.98,9.66,33,1,3.45,18.1,0.13,40.48,91.87,75.1,1,,206.17,142.22,167.14,2867.45,34.77,4.99,1.35,0.14,30,0,460.51,1,11725.88,348.6,,2020-06-13,0-1
684.06,0.34,4.46,8117.98,1.51,8.54,9.74,33,1,3.24,18.25,0.12,41,91.03,75.47,1,,206.43,142.95,167.95,2868.97,34.49,4.98,1.35,0.14,30,0,463.88,1,11868.47,349.96,,2020-06-14,0-1
689.04,0.33,4.48,8193.63,1.49,8.13,9.83,33,1,3.05,18.4,0.12,41.51,90.29,75.84,1,,206.83,143.68,168.76,2870.47,34.25,4.97,1.34,0.13,30,0,467.5,1,12011.78,351.31,,2020-06-15,0-1
694.03,0.33,4.5,8269.65,1.46,7.75,9.92,33,1,2.87,18.54,0.11,42.02,89.64,76.2,1,,207.34,144.4,169.58,2871.94,34.06,4.97,1.34,0.13,30,0,471.37,1,12155.84,352.65,,2020-06-16,0-1
699.02,0.33,4.52,8346.04,1.44,7.4,10.02,33,1,2.71,18.69,0.1,42.54,89.08,76.56,1,,207.96,145.12,170.4,2873.4,33.91,4.98,1.34,0.12,30,0,475.46,1,12300.6,354,,2020-06-17,0-1
704.01,0.32,4.54,8422.77,1.42,7.07,10.11,33,1,2.56,18.83,0.1,43.05,88.6,76.91,1,,208.67,145.83,171.23,2874.83,33.78,4.98,1.33,0.12,30,0,479.75,1,12446.07,355.34,,2020-06-18,0-1
709.01,0.32,4.56,8499.86,1.4,6.77,10.21,33,1,2.41,18.97,0.09,43.54,88.19,77.26,1,,209.47,146.53,172.05,2876.23,33.69,5,1.33,0.11,30,0,484.22,1,12592.25,356.69,,2020-06-19,0-1
