state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
NY,2020-05-30,0.885067585612464,0.615245407256225,1.17441478651778,0.998970943146075,0.691886063482047,1.32934422117395,1.12657882471065,0.754079439182788,1.53770189547077
NY,2020-05-31,1.00760078348851,0.697717897877086,1.33133887138778,1.11328092793604,0.774946227820695,1.46895217490259,1.22953624493337,0.830912190644423,1.65475669921401
NY,2020-06-01,1.19426411531239,0.823071536180148,1.59611850624767,1.29084203578564,0.898026954447721,1.69706774849679,1.39491563587758,0.956594555105332,1.85736035750793
NY,2020-06-02,0.597701184056112,0.410341817972279,0.805999737474886,0.706990059579304,0.465315862370535,0.974502902529184,0.835669818632228,0.513844856059829,1.2116196751673
NY,2020-06-03,0.908587510580465,0.634163244359359,1.19685708779392,1.02001048351691,0.705902580532123,1.34940568473615,1.14417720559575,0.769559969511459,1.55063843982324
NY,2020-06-04,0.960832810383506,0.667521454521681,1.26692472100185,1.0718815749252,0.746855419127424,1.40795806019877,1.19482434668804,0.807193612137926,1.60343094469682
NY,2020-06-05,0.89910819957006,0.62864617283674,1.18330761285344,1.01114276881794,0.705106938574697,1.33155963492261,1.13617538950003,0.766531363096108,1.53262160560732
NY,2020-06-06,0.820563319128751,0.573773064840792,1.07717342983268,0.934513296713583,0.645078007496545,1.24287565595688,1.06311364039967,0.707157730934282,1.45157291449365
NY,2020-06-07,0.881101832024762,0.614861513849202,1.15910973272497,0.993851899691575,0.69127317514995,1.30868969714354,1.11989158797032,0.753544007486725,1.51073209071454
NY,2020-06-08,1.00307042926145,0.697386010643148,1.3144685799915,1.10748970096552,0.774581285802451,1.44369976845788,1.22202337992319,0.830144636568928,1.62501544956962
NY,2020-06-09,1.18887817099998,0.822736309927976,1.57124661575558,1.28400845906846,0.89749680071563,1.66853604740012,1.38610180343587,0.955646044495544,1.8228163311301
NY,2020-06-10,0.59497386657111,0.410165296501606,0.795638443225132,0.703114522544589,0.465065910184112,0.95678205490846,0.830049976740246,0.513618191027677,1.18667181304644
NY,2020-06-11,0.904429195544956,0.633866395066039,1.17860979678117,1.01436061601539,0.705695970517508,1.32612958420065,1.13632995619891,0.768300858158321,1.52015636136234
NY,2020-06-12,0.956410876983074,0.667281150133699,1.24771016962364,1.06582061963497,0.746571218100632,1.38047743553303,1.18631003631028,0.806674060354481,1.5665099923457
NY,2020-06-13,0.894941707729052,0.628477413956477,1.16540168245547,1.00528685928094,0.704759125217907,1.30580649782188,1.12771538101947,0.766095990196142,1.49776514473823
NY,2020-06-14,0.816736253325354,0.573589252729232,1.05985063725359,0.928973409309478,0.644797603061779,1.21844273970209,1.05484743411451,0.706797242462544,1.41666835480875
NY,2020-06-15,0.876970875592469,0.614617832771436,1.14006137511051,0.987848769593991,0.691051632577893,1.28001780149293,1.11087168088999,0.753152486404474,1.47362645580951
NY,2020-06-16,0.998347712306331,0.697142038847012,1.29335432048201,1.10067432524852,0.774327782834291,1.41155607347988,1.21182431077481,0.829562611237527,1.58108281620822
NY,2020-06-17,1.18325861773767,0.822530965756793,1.53907749865289,1.27595231781821,0.897129321802957,1.63484851581616,1.37410940785275,0.954862885893076,1.77158003418201
NY,2020-06-18,0.592127018280361,0.410038239381622,0.783097759217472,0.698525966262595,0.464898261053836,0.937623677078051,0.822326331448235,0.513460260876077,1.1531774520203
NY,2020-06-19,0.900083334758702,0.633684333355806,1.15591481825826,1.00768120066566,0.705309718433037,1.2914743761146,1.12559799380183,0.767702923292029,1.46877777562977
NY,2020-06-20,0.951786725717203,0.667131031354891,1.22260340344372,1.05865830967301,0.746375718302713,1.34487730776798,1.17468175999723,0.806338073531508,1.51664404452714
NY,2020-06-21,0.890583110526118,0.628374177107299,1.14098654361511,0.998367219411145,0.704517487488451,1.27023728643047,1.11616354340391,0.764856773288333,1.44453836185205
NY,2020-06-22,0.812731851950449,0.573474085236528,1.04002152951859,0.92242665773555,0.644652144387791,1.1858324298876,1.04356053864027,0.706518963515262,1.36566237940898
NY,2020-06-23,0.872647735193137,0.614463194148338,1.11546671348873,0.980762546155093,0.690900863012096,1.24490226053732,1.09858814832767,0.752863535772392,1.41790123230567
NY,2020-06-24,0.993406089038554,0.696990329490966,1.26524049335361,1.09264142143377,0.774150549727077,1.36743988701698,1.19798118887047,0.829119639100834,1.51403798555346
NY,2020-06-25,1.17737961088236,0.822405202413522,1.51022263372525,1.26647440684687,0.896874258425699,1.58597413102124,1.35790319421424,0.954311673097724,1.69635310631888
NY,2020-06-26,0.589151606441547,0.409952433530229,0.76677436339752,0.693122666970264,0.464785769075759,0.916853206817508,0.811854733406244,0.513164197457906,1.10654681679272
NY,2020-06-27,0.895538792090985,0.633572723409148,1.13111503685269,0.999836561755862,0.705104414408075,1.25094052492036,1.11115007864112,0.767319883923899,1.40525487603233
NY,2020-06-28,0.946953338204635,0.667043918835741,1.1986726858915,1.05026503933238,0.746241601466922,1.30104934990844,1.15910432508675,0.806092460956974,1.4446154276562
