model_team,pointNA,target_end_date
MIT_CovAlliance.SIR,30760.738,2020-06-26
Auquan.SEIR,31837,2020-06-27
COVIDhub.ensemble,31363.4243552809,2020-06-27
CU.nochange,31322,2020-06-27
CU.scenario_high,31327,2020-06-27
CU.scenario_low,31326,2020-06-27
CU.scenario_mid,31322,2020-06-27
CU.select,31326,2020-06-27
Covid19Sim.Simulator,31127.4793725895,2020-06-27
CovidActNow.SEIR_CAN,,2020-06-27
IHME.CurveFit,31201.6651709631,2020-06-27
IowaStateLW.STEM,31418,2020-06-27
JHU_IDD.CovidSP,31260.3433333333,2020-06-27
LANL.GrowthRate,31354.0537255656,2020-06-27
MIT_CovAlliance.SIR,30782.877,2020-06-27
MIT_CovidAnalytics.DELPHI,31175,2020-06-27
MOBS_NEU.GLEAM_COVID,31201.8173264401,2020-06-27
NotreDame.mobility,24789.2251452251,2020-06-27
OliverWyman.Navigator,31357.61464,2020-06-27
PSI.DRAFT,31227,2020-06-27
UA.EpiCovDA,31232,2020-06-27
UCLA.SuEIR,31351.1820846408,2020-06-27
UMass.MechBayes,31340,2020-06-27
UT.Mobility,31473,2020-06-27
epiforecasts.ensemble1,31638,2020-06-27
SWC.TerminusCM,24809,2020-06-27
USACE.ERDC_SEIR,32347.7900068161,2020-06-27
SWC.TerminusCM,24809,2020-06-27
USACE.ERDC_SEIR,32347.7900068161,2020-06-27
YYG.ParamSearch,31352.479234901,2020-06-27
MIT_CovidAnalytics.DELPHI,31175,2020-06-27
MOBS_NEU.GLEAM_COVID,31201.8173264401,2020-06-27
NotreDame.mobility,24789.2251452251,2020-06-27
PSI.DRAFT,31227,2020-06-27
UT.Mobility,31473,2020-06-27
Auquan.SEIR,31837,2020-06-27
CU.nochange,31322,2020-06-27
CU.scenario_high,31327,2020-06-27
CU.scenario_low,31326,2020-06-27
CU.scenario_mid,31322,2020-06-27
CU.select,31326,2020-06-27
Covid19Sim.Simulator,31127.4793725895,2020-06-27
CovidActNow.SEIR_CAN,,2020-06-27
Geneva.DetGrowth,31388.8198351459,2020-06-27
IowaStateLW.STEM,31418,2020-06-27
JHU_IDD.CovidSP,31260.3433333333,2020-06-27
LANL.GrowthRate,31354.0537255656,2020-06-27
OliverWyman.Navigator,31357.61464,2020-06-27
UA.EpiCovDA,31232,2020-06-27
MIT_CovAlliance.SIR,30782.877,2020-06-27
MIT_CovAlliance.SIR,30804.031,2020-06-28
SWC.TerminusCM,24823,2020-06-28
USACE.ERDC_SEIR,32364.2051764297,2020-06-28
YYG.ParamSearch,31377.9277833228,2020-06-28
MIT_CovidAnalytics.DELPHI,31181,2020-06-28
MOBS_NEU.GLEAM_COVID,31215.3500054308,2020-06-28
NotreDame.mobility,24799.2378732379,2020-06-28
PSI.DRAFT,31247,2020-06-28
UT.Mobility,31499,2020-06-28
Auquan.SEIR,31928,2020-06-28
CU.nochange,31353,2020-06-28
CU.scenario_high,31356,2020-06-28
CU.scenario_low,31359,2020-06-28
CU.scenario_mid,31355,2020-06-28
CU.select,31359,2020-06-28
Covid19Sim.Simulator,31150.8776134857,2020-06-28
CovidActNow.SEIR_CAN,,2020-06-28
IowaStateLW.STEM,31471,2020-06-28
JHU_IDD.CovidSP,31322.0266666667,2020-06-28
LANL.GrowthRate,31387.5854176281,2020-06-28
OliverWyman.Navigator,31392.35035,2020-06-28
UA.EpiCovDA,31249,2020-06-28
UCLA.SuEIR,31382.2617707803,2020-06-28
MIT_CovAlliance.SIR,30824.24,2020-06-29
SWC.TerminusCM,24837,2020-06-29
USACE.ERDC_SEIR,32379.4555873693,2020-06-29
YYG.ParamSearch,31401.74890747,2020-06-29
MIT_CovidAnalytics.DELPHI,31186,2020-06-29
MOBS_NEU.GLEAM_COVID,31228.1782347072,2020-06-29
NotreDame.mobility,24808.968031968,2020-06-29
PSI.DRAFT,31266,2020-06-29
UT.Mobility,31522.5,2020-06-29
Auquan.SEIR,32014,2020-06-29
CU.nochange,31381,2020-06-29
CU.scenario_high,31387,2020-06-29
CU.scenario_low,31388,2020-06-29
CU.scenario_mid,31382,2020-06-29
CU.select,31388,2020-06-29
Covid19Sim.Simulator,31173.321985129,2020-06-29
CovidActNow.SEIR_CAN,,2020-06-29
IowaStateLW.STEM,31522,2020-06-29
JHU_IDD.CovidSP,31383.0533333333,2020-06-29
LANL.GrowthRate,31420.8151804853,2020-06-29
OliverWyman.Navigator,31426.16844,2020-06-29
UA.EpiCovDA,31266,2020-06-29
UCLA.SuEIR,31411.7082222179,2020-06-29
MIT_CovAlliance.SIR,30843.55,2020-06-30
SWC.TerminusCM,24851,2020-06-30
USACE.ERDC_SEIR,32393.6208366764,2020-06-30
YYG.ParamSearch,31424.0512203275,2020-06-30
MIT_CovidAnalytics.DELPHI,31191,2020-06-30
MOBS_NEU.GLEAM_COVID,31240.3666632327,2020-06-30
NotreDame.mobility,24818.49002849,2020-06-30
PSI.DRAFT,31283,2020-06-30
UT.Mobility,31543,2020-06-30
Auquan.SEIR,32093,2020-06-30
CU.nochange,31412,2020-06-30
CU.scenario_high,31418,2020-06-30
CU.scenario_low,31416,2020-06-30
CU.scenario_mid,31411,2020-06-30
CU.select,31416,2020-06-30
Covid19Sim.Simulator,31194.8341619514,2020-06-30
CovidActNow.SEIR_CAN,,2020-06-30
IowaStateLW.STEM,31569,2020-06-30
JHU_IDD.CovidSP,31444.48,2020-06-30
LANL.GrowthRate,31453.5261494979,2020-06-30
OliverWyman.Navigator,31459.3294,2020-06-30
UA.EpiCovDA,31282,2020-06-30
UCLA.SuEIR,31439.6070388549,2020-06-30
Auquan.SEIR,32167,2020-07-01
CU.nochange,31440,2020-07-01
CU.scenario_high,31446,2020-07-01
CU.scenario_low,31449,2020-07-01
CU.scenario_mid,31439,2020-07-01
CU.select,31449,2020-07-01
Covid19Sim.Simulator,31215.4962352494,2020-07-01
CovidActNow.SEIR_CAN,,2020-07-01
IowaStateLW.STEM,31614,2020-07-01
JHU_IDD.CovidSP,31506.4433333333,2020-07-01
LANL.GrowthRate,31483.6567805606,2020-07-01
OliverWyman.Navigator,31491.75499,2020-07-01
UA.EpiCovDA,31298,2020-07-01
UCLA.SuEIR,31466.0395293015,2020-07-01
MIT_CovAlliance.SIR,30862,2020-07-01
SWC.TerminusCM,24863,2020-07-01
USACE.ERDC_SEIR,32406.7791215776,2020-07-01
YYG.ParamSearch,31444.9369187546,2020-07-01
MIT_CovidAnalytics.DELPHI,31196,2020-07-01
MOBS_NEU.GLEAM_COVID,31251.8784125427,2020-07-01
NotreDame.mobility,24827.8417878418,2020-07-01
PSI.DRAFT,31300.5,2020-07-01
UT.Mobility,31562.5,2020-07-01
MIT_CovidAnalytics.DELPHI,31200,2020-07-02
MOBS_NEU.GLEAM_COVID,31262.8744614628,2020-07-02
NotreDame.mobility,24837.0572020572,2020-07-02
PSI.DRAFT,31319,2020-07-02
UT.Mobility,31581.5,2020-07-02
Auquan.SEIR,32236,2020-07-02
CU.nochange,31470,2020-07-02
CU.scenario_high,31479,2020-07-02
CU.scenario_low,31479,2020-07-02
CU.scenario_mid,31466,2020-07-02
CU.select,31479,2020-07-02
Covid19Sim.Simulator,31235.4548116393,2020-07-02
CovidActNow.SEIR_CAN,,2020-07-02
IowaStateLW.STEM,31656,2020-07-02
JHU_IDD.CovidSP,31568.26,2020-07-02
LANL.GrowthRate,31515.9531827958,2020-07-02
OliverWyman.Navigator,31523.67493,2020-07-02
UA.EpiCovDA,31314,2020-07-02
UCLA.SuEIR,31491.0828186488,2020-07-02
MIT_CovAlliance.SIR,30879.627,2020-07-02
SWC.TerminusCM,24876,2020-07-02
USACE.ERDC_SEIR,32418.9985571332,2020-07-02
YYG.ParamSearch,31464.5023760134,2020-07-02
MIT_CovidAnalytics.DELPHI,31204,2020-07-03
MOBS_NEU.GLEAM_COVID,31273.2873114088,2020-07-03
NotreDame.mobility,24846.1828911829,2020-07-03
PSI.DRAFT,31335,2020-07-03
UT.Mobility,31598,2020-07-03
Auquan.SEIR,32301,2020-07-03
CU.nochange,31501,2020-07-03
CU.scenario_high,31506,2020-07-03
CU.scenario_low,31505,2020-07-03
CU.scenario_mid,31494,2020-07-03
CU.select,31505,2020-07-03
Covid19Sim.Simulator,31254.672721962,2020-07-03
