date,Rt
2020-03-22,2.25024688638482
2020-03-23,2.19039962360308
2020-03-24,2.1289766201383
2020-03-25,2.06599314063682
2020-03-26,2.00146970765162
2020-03-27,1.93546625100985
2020-03-28,1.86807434515131
2020-03-29,1.79940685190653
2020-03-30,1.72962011146238
2020-03-31,1.65889449158535
2020-04-01,1.58743768885951
2020-04-02,1.5154850492012
2020-04-03,1.44330790910369
2020-04-04,1.37118949458235
2020-04-05,1.2994424634987
2020-04-06,1.22838964106105
2020-04-07,1.1583602775248
2020-04-08,1.08968644764874
2020-04-09,1.02269218318003
2020-04-10,0.957679812681872
2020-04-11,0.894926943027353
2020-04-12,0.834682744345588
2020-04-13,0.777157270784709
2020-04-14,0.722525977382408
2020-04-15,0.670920595624518
2020-04-16,0.62243061130231
2020-04-17,0.571658080070193
2020-04-18,0.525862196685646
2020-04-19,0.484578506552733
2020-04-20,0.447370621284539
2020-04-21,0.413903916339791
2020-04-22,0.383810445807106
2020-04-23,0.356757386953452
2020-04-24,0.332529060735353
2020-04-25,0.310831694009906
2020-04-26,0.291456608108457
2020-04-27,0.27426200926044
2020-04-28,0.259013395707984
2020-04-29,0.245591446230906
2020-04-30,0.233845776615383
2020-05-01,0.22364957965601
2020-05-02,0.214879295909478
2020-05-03,0.207374448258178
2020-05-04,0.201007715972071
2020-05-05,0.195666794770895
2020-05-06,0.191265434750915
2020-05-07,0.187697998244623
2020-05-08,0.184872658274182
2020-05-09,0.182702672046193
2020-05-10,0.181116934552276
2020-05-11,0.180031566428059
2020-05-12,0.179390597865449
2020-05-13,0.179151567885678
2020-05-14,0.179249442984239
2020-05-15,0.179650084802463
2020-05-16,0.180312107918978
2020-05-17,0.181209277857968
2020-05-18,0.182320795383745
2020-05-19,0.183605729012369
2020-05-20,0.185048587490199
2020-05-21,0.186636624526597
2020-05-22,0.188352607434981
2020-05-23,0.190187327304459
2020-05-24,0.192148621211847
2020-05-25,0.194220994501246
2020-05-26,0.196407731586602
2020-05-27,0.198701643776825
2020-05-28,0.201097653099065
2020-05-29,0.203587903930246
2020-05-30,0.206180828064839
2020-05-31,0.208875904619479
2020-06-01,0.211671797226493
2020-06-02,0.21457012168208
2020-06-03,0.217568753958394
2020-06-04,0.220658202811551
2020-06-05,0.223832149456048
2020-06-06,0.227088702911625
2020-06-07,0.230410781694522
2020-06-08,0.233785006345769
2020-06-09,0.237206405888443
2020-06-10,0.24065087758407
2020-06-11,0.244102045410059
2020-06-12,0.247557080019903
2020-06-13,0.250993903345409
2020-06-14,0.254400881347832
2020-06-15,0.25776745991093
2020-06-16,0.261080978392975
2020-06-17,0.264332996425765
2020-06-18,0.267513993791952
2020-06-19,0.270620221058351
2020-06-20,0.273653944630672
2020-06-21,0.276609297182251
2020-06-22,0.279497357776415
2020-06-23,0.282318722727393
2020-06-24,0.285075365063399
2020-06-25,0.287778118321814
2020-06-26,0.290431272281737
2020-06-27,0.293033970514396
2020-06-28,0.295604619200232
2020-06-29,0.298133000049647
2020-06-30,0.300630943816664
2020-07-01,0.303107155167709
2020-07-02,0.305550900601486
2020-07-03,0.30797385398823
2020-07-04,0.310368610526968
2020-07-05,0.312733631693806
2020-07-06,0.315068618817549
2020-07-07,0.317363864020696
2020-07-08,0.319631443887457
2020-07-09,0.321866154171413
2020-07-10,0.324057774555352
2020-07-11,0.326206208382914
2020-07-12,0.328300327133918
2020-07-13,0.330287556635872
2020-07-14,0.332204527295565
2020-07-15,0.334038502990017
2020-07-16,0.335789531951724
2020-07-17,0.337452948209542
2020-07-18,0.339028052492418
2020-07-19,0.340504727287389
2020-07-20,0.34188365200232
2020-07-21,0.343163614721659
2020-07-22,0.344343314369068
2020-07-23,0.345420597800417
2020-07-24,0.346402557524143
2020-07-25,0.347290674806713
2020-07-26,0.348084883165169
2020-07-27,0.348794336359821
2020-07-28,0.349427314838127
2020-07-29,0.349980068610001
2020-07-30,0.350467897561465
2020-07-31,0.350896253850601
2020-08-01,0.351260900376753
2020-08-02,0.35157391573355
2020-08-03,0.351836161696343
2020-08-04,0.352055606849255
2020-08-05,0.352233605343195
