state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
NY,2020-02-15,0,100.328474584382,26.2272190973143,262.130192296339,0,1.00328474584382e-13,2.62272190973143e-14,2.62130192296339e-13,3.45223967688017,2.26384408191998,4.65911997014011,0,0,0
NY,2020-02-16,0,100.328474584382,26.2272190973143,262.130192296339,0,1.85256031353518e-06,4.97212732532943e-07,4.66426026269826e-06,3.529112252121,2.33046778068457,4.73525324086469,15.530926202202,4.05999399449437,40.5779584389017
NY,2020-02-17,0,100.328474584382,26.2272190973143,262.130192296339,0,3.79774864274713e-05,1.01928610169253e-05,9.56173353853143e-05,2.76330279646238,1.7371737338236,3.88392474146458,71.9660406969669,18.8128955886608,188.027099632976
NY,2020-02-18,0,100.328474584382,26.2272190973143,262.130192296339,0,0.000218602116997152,5.86711024388873e-05,0.000550382710998395,3.06479701617438,1.96500243142465,4.24340061619218,158.335208329313,41.3909632023674,413.685534227236
NY,2020-02-19,0,100.328474584382,26.2272190973143,262.130192296339,0,0.000938321798805571,0.000251838249027936,0.00236244782305667,3.25625924219958,2.10892906803788,4.45452873400389,258.09688079843,67.4700125669766,674.33483141295
NY,2020-02-20,0,100.328474584382,26.2272190973143,262.130192296339,0,0.00273993670371854,0.000735377631416223,0.00689844092853073,3.21414068595137,2.07572647118557,4.41203649591106,358.425355382812,93.697231664291,936.465023709289
NY,2020-02-21,0,156.132633707924,49.7590171173358,360.338952885658,0,0.00618662516705075,0.00166044192029376,0.0155762971472808,3.11131088039609,1.99454891192699,4.29168830048855,451.337697374989,117.985773480243,1179.21893952437
NY,2020-02-22,0,234.311017806415,83.5848320655273,504.291235030068,0,0.0122103273375565,0.00327726855122944,0.030742294194329,3.93850832337973,2.75788754319751,5.16817388799289,541.437957952503,144.284764671573,1396.42387605507
NY,2020-02-23,0,286.902049350247,106.158902961596,604.670377077846,0,0.0214992616807487,0.00577503905626068,0.0541265864143803,3.9789265959565,2.80152004869478,5.20535576246706,653.621780830146,181.099985904561,1638.21724884202
NY,2020-02-24,0,344.820798453645,135.086198412337,704.109527332796,0,0.0346299428779375,0.00932967203177178,0.0871602528454712,3.84340547750692,2.69081912431341,5.08929461458413,810.036156479699,239.960376228759,1944.73060540968
